SquashedGaussianMLPActor(
  (net): Sequential(
    (0): Linear(in_features=23, out_features=256, bias=True)
    (1): ReLU()
    (2): Linear(in_features=256, out_features=256, bias=True)
    (3): ReLU()
    (4): Linear(in_features=256, out_features=256, bias=True)
    (5): ReLU()
    (6): Linear(in_features=256, out_features=256, bias=True)
    (7): ReLU()
  )
  (mu_layer): Linear(in_features=256, out_features=6, bias=True)
  (log_std_layer): Linear(in_features=256, out_features=6, bias=True)
)Epoch: 1, Timestep: 1000, Reward: -0.13, Noise_std: 0.1004, Time: 00:00:00
Epoch: 2, Timestep: 2000, Reward: -57.77, Noise_std: 0.1008, Time: 00:00:07
Epoch: 3, Timestep: 3000, Reward: -286.23, Noise_std: 0.1012, Time: 00:00:14
Epoch: 4, Timestep: 4000, Reward: -161.79, Noise_std: 0.1016, Time: 00:00:21
Epoch: 5, Timestep: 5000, Reward: -142.88, Noise_std: 0.1020, Time: 00:00:27
Epoch: 6, Timestep: 6000, Reward: 43.50, Noise_std: 0.1024, Time: 00:00:34
Epoch: 7, Timestep: 7000, Reward: -27.07, Noise_std: 0.1028, Time: 00:00:41
Epoch: 8, Timestep: 8000, Reward: -94.04, Noise_std: 0.1032, Time: 00:00:48
Epoch: 9, Timestep: 9000, Reward: -188.33, Noise_std: 0.1036, Time: 00:00:55
Epoch: 10, Timestep: 10000, Reward: -51.32, Noise_std: 0.1040, Time: 00:01:02
Epoch: 11, Timestep: 11000, Reward: 1028.40, Noise_std: 0.1044, Time: 00:01:10
Epoch: 12, Timestep: 12000, Reward: 80.68, Noise_std: 0.1048, Time: 00:01:17
Epoch: 13, Timestep: 13000, Reward: 1856.92, Noise_std: 0.1052, Time: 00:01:25
Epoch: 14, Timestep: 14000, Reward: 72.21, Noise_std: 0.1056, Time: 00:01:33
Epoch: 15, Timestep: 15000, Reward: 1818.73, Noise_std: 0.1060, Time: 00:01:40
Epoch: 16, Timestep: 16000, Reward: 2738.53, Noise_std: 0.1064, Time: 00:01:48
Epoch: 17, Timestep: 17000, Reward: 1535.79, Noise_std: 0.1068, Time: 00:01:55
Epoch: 18, Timestep: 18000, Reward: 125.60, Noise_std: 0.1072, Time: 00:02:03
Epoch: 19, Timestep: 19000, Reward: 1564.44, Noise_std: 0.1076, Time: 00:02:10
Epoch: 20, Timestep: 20000, Reward: 343.74, Noise_std: 0.1080, Time: 00:02:18
Epoch: 21, Timestep: 21000, Reward: 560.53, Noise_std: 0.1084, Time: 00:02:25
Epoch: 22, Timestep: 22000, Reward: 22.53, Noise_std: 0.1088, Time: 00:02:33
Epoch: 23, Timestep: 23000, Reward: 568.94, Noise_std: 0.1092, Time: 00:02:40
Epoch: 24, Timestep: 24000, Reward: 1911.29, Noise_std: 0.1096, Time: 00:02:48
Epoch: 25, Timestep: 25000, Reward: 36.08, Noise_std: 0.1100, Time: 00:02:55
Epoch: 26, Timestep: 26000, Reward: 458.49, Noise_std: 0.1104, Time: 00:03:03
Epoch: 27, Timestep: 27000, Reward: 507.56, Noise_std: 0.1108, Time: 00:03:10
Epoch: 28, Timestep: 28000, Reward: 270.44, Noise_std: 0.1112, Time: 00:03:18
Epoch: 29, Timestep: 29000, Reward: 3602.96, Noise_std: 0.1116, Time: 00:03:25
Epoch: 30, Timestep: 30000, Reward: 3730.00, Noise_std: 0.1120, Time: 00:03:33
Epoch: 31, Timestep: 31000, Reward: 3011.23, Noise_std: 0.1124, Time: 00:03:40
Epoch: 32, Timestep: 32000, Reward: 4207.28, Noise_std: 0.1128, Time: 00:03:48
Epoch: 33, Timestep: 33000, Reward: 4389.20, Noise_std: 0.1132, Time: 00:03:55
Epoch: 34, Timestep: 34000, Reward: 4131.88, Noise_std: 0.1136, Time: 00:04:03
Epoch: 35, Timestep: 35000, Reward: 4370.37, Noise_std: 0.1140, Time: 00:04:10
Epoch: 36, Timestep: 36000, Reward: 4501.31, Noise_std: 0.1144, Time: 00:04:18
Epoch: 37, Timestep: 37000, Reward: 4329.40, Noise_std: 0.1148, Time: 00:04:25
Epoch: 38, Timestep: 38000, Reward: 4339.75, Noise_std: 0.1152, Time: 00:04:33
Epoch: 39, Timestep: 39000, Reward: 1063.16, Noise_std: 0.1156, Time: 00:04:40
Epoch: 40, Timestep: 40000, Reward: 4482.75, Noise_std: 0.1160, Time: 00:04:48
Epoch: 41, Timestep: 41000, Reward: 4501.49, Noise_std: 0.1164, Time: 00:04:55
Epoch: 42, Timestep: 42000, Reward: 4507.14, Noise_std: 0.1168, Time: 00:05:03
Epoch: 43, Timestep: 43000, Reward: 4696.55, Noise_std: 0.1172, Time: 00:05:10
Epoch: 44, Timestep: 44000, Reward: 4160.36, Noise_std: 0.1176, Time: 00:05:18
Epoch: 45, Timestep: 45000, Reward: 4320.19, Noise_std: 0.1180, Time: 00:05:25
Epoch: 46, Timestep: 46000, Reward: 4110.40, Noise_std: 0.1184, Time: 00:05:33
Epoch: 47, Timestep: 47000, Reward: 3564.00, Noise_std: 0.1188, Time: 00:05:40
Epoch: 48, Timestep: 48000, Reward: 3494.89, Noise_std: 0.1192, Time: 00:05:48
Epoch: 49, Timestep: 49000, Reward: 3778.30, Noise_std: 0.1196, Time: 00:05:55
Epoch: 50, Timestep: 50000, Reward: 3477.49, Noise_std: 0.1200, Time: 00:06:03
Epoch: 51, Timestep: 51000, Reward: 4074.57, Noise_std: 0.1204, Time: 00:06:10
Epoch: 52, Timestep: 52000, Reward: 4399.88, Noise_std: 0.1208, Time: 00:06:18
Epoch: 53, Timestep: 53000, Reward: 3515.97, Noise_std: 0.1212, Time: 00:06:25
Epoch: 54, Timestep: 54000, Reward: 3946.27, Noise_std: 0.1216, Time: 00:06:33
Epoch: 55, Timestep: 55000, Reward: 3634.45, Noise_std: 0.1220, Time: 00:06:40
Epoch: 56, Timestep: 56000, Reward: 3701.35, Noise_std: 0.1224, Time: 00:06:48
Epoch: 57, Timestep: 57000, Reward: 4162.55, Noise_std: 0.1228, Time: 00:06:55
Epoch: 58, Timestep: 58000, Reward: 3282.84, Noise_std: 0.1232, Time: 00:07:03
Epoch: 59, Timestep: 59000, Reward: 3571.34, Noise_std: 0.1236, Time: 00:07:10
Epoch: 60, Timestep: 60000, Reward: 3655.42, Noise_std: 0.1240, Time: 00:07:18
Epoch: 61, Timestep: 61000, Reward: 4042.78, Noise_std: 0.1244, Time: 00:07:25
Epoch: 62, Timestep: 62000, Reward: 3499.31, Noise_std: 0.1248, Time: 00:07:33
Epoch: 63, Timestep: 63000, Reward: 3929.92, Noise_std: 0.1252, Time: 00:07:40
Epoch: 64, Timestep: 64000, Reward: 4596.13, Noise_std: 0.1256, Time: 00:07:48
Epoch: 65, Timestep: 65000, Reward: 3697.19, Noise_std: 0.1260, Time: 00:07:55
Epoch: 66, Timestep: 66000, Reward: 3705.65, Noise_std: 0.1264, Time: 00:08:03
Epoch: 67, Timestep: 67000, Reward: 3740.33, Noise_std: 0.1268, Time: 00:08:10
Epoch: 68, Timestep: 68000, Reward: 3940.30, Noise_std: 0.1272, Time: 00:08:18
Epoch: 69, Timestep: 69000, Reward: 3214.74, Noise_std: 0.1276, Time: 00:08:25
Epoch: 70, Timestep: 70000, Reward: 3769.41, Noise_std: 0.1280, Time: 00:08:33
Epoch: 71, Timestep: 71000, Reward: 4333.28, Noise_std: 0.1284, Time: 00:08:40
Epoch: 72, Timestep: 72000, Reward: 4255.59, Noise_std: 0.1288, Time: 00:08:48
Epoch: 73, Timestep: 73000, Reward: 4353.87, Noise_std: 0.1292, Time: 00:08:55
Epoch: 74, Timestep: 74000, Reward: 4467.41, Noise_std: 0.1296, Time: 00:09:03
Epoch: 75, Timestep: 75000, Reward: 4067.08, Noise_std: 0.1300, Time: 00:09:11
Epoch: 76, Timestep: 76000, Reward: 3763.91, Noise_std: 0.1304, Time: 00:09:18
Epoch: 77, Timestep: 77000, Reward: 3848.64, Noise_std: 0.1308, Time: 00:09:25
Epoch: 78, Timestep: 78000, Reward: 4078.69, Noise_std: 0.1312, Time: 00:09:33
Epoch: 79, Timestep: 79000, Reward: 3970.99, Noise_std: 0.1316, Time: 00:09:40
Epoch: 80, Timestep: 80000, Reward: 3544.30, Noise_std: 0.1320, Time: 00:09:48
Epoch: 81, Timestep: 81000, Reward: 3602.14, Noise_std: 0.1324, Time: 00:09:55
Epoch: 82, Timestep: 82000, Reward: 4083.78, Noise_std: 0.1328, Time: 00:10:03
Epoch: 83, Timestep: 83000, Reward: 4269.11, Noise_std: 0.1332, Time: 00:10:11
Epoch: 84, Timestep: 84000, Reward: 3696.39, Noise_std: 0.1336, Time: 00:10:18
Epoch: 85, Timestep: 85000, Reward: 4352.84, Noise_std: 0.1340, Time: 00:10:26
Epoch: 86, Timestep: 86000, Reward: 4083.63, Noise_std: 0.1344, Time: 00:10:33
Epoch: 87, Timestep: 87000, Reward: 4341.50, Noise_std: 0.1348, Time: 00:10:41
Epoch: 88, Timestep: 88000, Reward: 4531.59, Noise_std: 0.1352, Time: 00:10:48
Epoch: 89, Timestep: 89000, Reward: 4248.97, Noise_std: 0.1356, Time: 00:10:56
Epoch: 90, Timestep: 90000, Reward: 3423.56, Noise_std: 0.1360, Time: 00:11:03
Epoch: 91, Timestep: 91000, Reward: 3991.38, Noise_std: 0.1364, Time: 00:11:11
Epoch: 92, Timestep: 92000, Reward: 3871.85, Noise_std: 0.1368, Time: 00:11:18
Epoch: 93, Timestep: 93000, Reward: 3772.60, Noise_std: 0.1372, Time: 00:11:26
Epoch: 94, Timestep: 94000, Reward: 3570.71, Noise_std: 0.1376, Time: 00:11:33
Epoch: 95, Timestep: 95000, Reward: 3694.35, Noise_std: 0.1380, Time: 00:11:41
Epoch: 96, Timestep: 96000, Reward: 3982.07, Noise_std: 0.1384, Time: 00:11:48
Epoch: 97, Timestep: 97000, Reward: 4001.37, Noise_std: 0.1388, Time: 00:11:56
Epoch: 98, Timestep: 98000, Reward: 3807.91, Noise_std: 0.1392, Time: 00:12:03
Epoch: 99, Timestep: 99000, Reward: 3103.10, Noise_std: 0.1396, Time: 00:12:11
Epoch: 100, Timestep: 100000, Reward: 3664.97, Noise_std: 0.1400, Time: 00:12:19
Epoch: 101, Timestep: 101000, Reward: 4333.34, Noise_std: 0.1404, Time: 00:12:26
Epoch: 102, Timestep: 102000, Reward: 4287.64, Noise_std: 0.1408, Time: 00:12:34
Epoch: 103, Timestep: 103000, Reward: 3984.91, Noise_std: 0.1412, Time: 00:12:41
Epoch: 104, Timestep: 104000, Reward: 3809.66, Noise_std: 0.1416, Time: 00:12:49
Epoch: 105, Timestep: 105000, Reward: 4135.79, Noise_std: 0.1420, Time: 00:12:56
